rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
5.56,47,127,96256,1.245385766029358,752,0.30579090118408203,-0.019167913944693284,0.0003,-2.4799658436328174,1.0185208320617676,1.4888663277961314,0.494482421875,460,0.2,0.121884234
5.6,48,127,98304,1.1223857402801514,768,0.28413456678390503,-0.01485284192895051,0.0003,-2.4599808905273677,0.6478649377822876,1.3945392304100097,0.494384765625,470,0.2,0.10314802
5.43,49,127,100352,1.428385615348816,784,0.2890264391899109,-0.018162366545584518,0.0003,-2.3418053429573775,1.0185832977294922,1.6152840579859913,0.487890625,480,0.2,0.09663138
5.58,50,127,102400,1.2348008155822754,800,0.30656540393829346,-0.020349476439878344,0.0003,-2.360997402667999,0.4202027916908264,1.5952376440167426,0.481396484375,490,0.2,0.1029319
5.14,51,127,104448,1.9198005199432373,816,0.3237481117248535,-0.014782011706847698,0.0003,-2.2211555272340773,0.8210043907165527,1.9305784741416574,0.454833984375,500,0.2,0.11788159
5.49,52,127,106496,1.37380051612854,832,0.3443363904953003,-0.016767394548514857,0.0003,-2.2628629062324763,0.4084123969078064,2.1499831030145287,0.462890625,510,0.2,0.101771936
5.4,53,127,108544,1.4023855924606323,848,0.3261594772338867,-0.017497993071447126,0.0003,-2.3052903655916452,0.8447285890579224,1.8551630847156049,0.451611328125,520,0.2,0.092163704
5.18,54,128,110592,1.6923855543136597,863,0.296808123588562,-0.018905305897351354,0.0003,-2.287903441116214,0.7053147554397583,2.0013599544763565,0.460302734375,530,0.2,0.10183893
5.4,55,128,112640,1.4873857498168945,879,0.3448799252510071,-0.015827534496202132,0.0003,-2.26724161170423,1.155741572380066,1.997721442580223,0.456103515625,540,0.2,0.12913251
5.39,56,127,114688,1.407800555229187,900,0.3845357894897461,-0.014509647749946453,0.0003,-2.2985202372074127,0.7561635375022888,1.6961702942848205,0.46357421875,550,0.2,0.11203639
5.45,57,127,116736,1.547385573387146,916,0.35853391885757446,-0.017476100954809226,0.0003,-2.2254193156957625,0.4601767957210541,1.9681537844240666,0.47265625,560,0.2,0.115663245
4.85,58,127,118784,2.375215530395508,932,0.35193341970443726,-0.018636999095906503,0.0003,-2.2087024208158255,0.44816720485687256,1.9995870251208543,0.46162109375,570,0.2,0.11079866
5.23,59,127,120832,1.741385817527771,948,0.34773874282836914,-0.0211017081834143,0.0003,-2.03934070430696,1.3059158325195312,2.3236926469951866,0.44833984375,580,0.2,0.11047849
5.2,60,127,122880,1.7058006525039673,964,0.35290277004241943,-0.014752510335529222,0.0003,-2.1702462002635,1.024147629737854,2.1774595787748696,0.450146484375,590,0.2,0.10794034
5.17,61,127,124928,1.8823856115341187,980,0.3851809501647949,-0.01720322890614625,0.0003,-2.1027991972863673,0.9006053805351257,2.1384808640927075,0.450927734375,600,0.2,0.10933641
5.42,62,127,126976,1.547385573387146,996,0.36184030771255493,-0.013073729700408876,0.0003,-2.000109243392944,1.6053526401519775,2.3319519026204945,0.451220703125,610,0.2,0.109966606
5.42,63,127,129024,1.5683856010437012,1012,0.34833866357803345,-0.017167671193601564,0.0003,-2.0059424374252557,1.0428956747055054,2.182975723594427,0.437255859375,620,0.2,0.09847286
4.9,64,127,131072,2.2963857650756836,1028,0.37831825017929077,-0.013773704387131148,0.0003,-2.0295425560325384,1.5543017387390137,2.066235388070345,0.451318359375,630,0.2,0.11242594
4.86,65,127,133120,2.2423856258392334,1044,0.40349650382995605,-0.014325257184100337,0.0003,-1.9574010863900184,1.264355182647705,2.37059299685061,0.429638671875,640,0.2,0.11540811
4.82,66,127,135168,2.34138560295105,1060,0.4067288041114807,-0.012468547208118252,0.0003,-1.8653418224304914,0.8789315223693848,2.457131549715996,0.42099609375,650,0.2,0.10752064
4.84,67,127,137216,2.384385585784912,1076,0.39473211765289307,-0.011388290568720549,0.0003,-1.852357456088066,1.2592352628707886,2.7032177083194258,0.4177734375,660,0.2,0.10845433
4.99,68,127,139264,2.270385503768921,1092,0.40207982063293457,-0.014633574029721786,0.0003,-1.9063556414097547,0.7902294397354126,2.45574895888567,0.415283203125,670,0.2,0.1090985
4.69,69,127,141312,2.8493857383728027,1108,0.38358640670776367,-0.014990672850399279,0.0003,-1.8586124647408724,0.7701287269592285,2.5766910072416067,0.42802734375,680,0.2,0.11366657
4.88,70,127,143360,2.3853859901428223,1125,0.40230458974838257,-0.014580823457799852,0.0003,-1.771280036494136,1.9032695293426514,2.666757993400097,0.417822265625,690,0.2,0.11667456
4.65,71,127,145408,2.710385799407959,1141,0.44208014011383057,-0.017813049981486983,0.0003,-1.7093431647866963,0.9115394949913025,2.8233290161937474,0.419189453125,700,0.2,0.12130108
4.67,72,127,147456,2.75838565826416,1156,0.43927913904190063,-0.012676315126009285,0.0003,-1.6537567937746644,1.5977002382278442,2.8999222956597803,0.402197265625,710,0.2,0.12672824
4.58,73,127,149504,2.823385238647461,1172,0.4499184489250183,-0.01505081782815978,0.0003,-1.5975103564560413,0.9307169318199158,2.7658080916851757,0.394677734375,720,0.2,0.12572736
4.83,74,127,151552,2.4173855781555176,1188,0.43641698360443115,-0.013037407971569336,0.0003,-1.5468600295484065,0.8454952239990234,2.915965212509036,0.38623046875,730,0.2,0.11245394
4.56,75,127,153600,2.9213855266571045,1204,0.4408443570137024,-0.012414236582117155,0.0003,-1.4901878900825978,1.7285670042037964,3.06725383810699,0.383642578125,740,0.2,0.12231982
4.43,76,127,155648,3.134385585784912,1221,0.4182054400444031,-0.0168525298446184,0.0003,-1.459722187742591,1.6044024229049683,3.135611403733492,0.373388671875,750,0.2,0.11132742
4.53,77,127,157696,2.9783856868743896,1237,0.4420832395553589,-0.014539081856491975,0.0003,-1.3706491036340593,1.8086135387420654,3.212453343346715,0.3693359375,760,0.2,0.12498853
4.38,78,127,159744,3.1943857669830322,1253,0.4418303966522217,-0.005650348259950988,0.0003,-1.3845259960740806,1.243242859840393,3.0804092932492493,0.362939453125,770,0.2,0.112207666
4.94,79,127,161792,2.3813858032226562,1269,0.4655632972717285,-0.013325002838973888,0.0003,-1.2813639795407652,1.956346035003662,3.2522735826671125,0.3513671875,780,0.2,0.1318331
4.4,80,127,163840,3.117385149002075,1286,0.45362770557403564,-0.010472553875297308,0.0003,-1.3273548508062958,0.9652116894721985,2.96111061014235,0.35634765625,790,0.2,0.10225651
4.41,81,127,165888,3.2003860473632812,1302,0.48141419887542725,-0.014355537720257416,0.0003,-1.2857778657227754,1.28513503074646,3.0275200832635165,0.36376953125,800,0.2,0.12174665
4.4,82,127,167936,3.320385456085205,1318,0.4657965898513794,-0.016356468576123006,0.0003,-1.1968078332021832,1.910058856010437,3.13595629632473,0.344384765625,810,0.2,0.12888241
4.53,83,127,169984,2.9283857345581055,1334,0.4340461492538452,-0.01275397789431736,0.0003,-1.1693080112338066,1.252164363861084,3.1435324281454085,0.33505859375,820,0.2,0.10969485
4.35,84,127,172032,3.2863857746124268,1350,0.5119893550872803,-0.009490120579721406,0.0003,-1.1524508107453584,1.4135788679122925,3.098241613805294,0.31884765625,830,0.2,0.12339506
4.14,85,127,174080,3.6053860187530518,1367,0.5021488666534424,-0.004441639766446315,0.0003,-1.1605568066239358,1.4656661748886108,3.090686394646764,0.3236328125,840,0.2,0.10405208
4.19,86,127,176128,3.5963857173919678,1383,0.47195613384246826,-0.009320313009084202,0.0003,-1.163985748961568,1.9146006107330322,3.1755824886262416,0.349609375,850,0.2,0.14076535
